indicador,unidade,valor,uf_codigo,uf_nome,variavel_codigo,variavel,periodo_codigo,periodo,categoria_codigo,categoria,categoria2_codigo,categoria2
cor_raca,%,100.0,26,Pernambuco,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,26,Pernambuco,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,3210.0,27,Alagoas,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,27,Alagoas,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,27,Alagoas,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,27,Alagoas,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,2280.0,28,Sergipe,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,28,Sergipe,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,28,Sergipe,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,28,Sergipe,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,14791.0,29,Bahia,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,29,Bahia,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,29,Bahia,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,29,Bahia,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,21212.0,31,Minas Gerais,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,31,Minas Gerais,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,31,Minas Gerais,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,31,Minas Gerais,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,4065.0,32,Espírito Santo,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,32,Espírito Santo,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,32,Espírito Santo,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,32,Espírito Santo,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,17235.0,33,Rio de Janeiro,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,33,Rio de Janeiro,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,33,Rio de Janeiro,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,33,Rio de Janeiro,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,45845.0,35,São Paulo,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,35,São Paulo,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,35,São Paulo,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,35,São Paulo,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,11716.0,41,Paraná,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,41,Paraná,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,41,Paraná,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,41,Paraná,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,7858.0,42,Santa Catarina,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,42,Santa Catarina,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,42,Santa Catarina,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,42,Santa Catarina,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,11214.0,43,Rio Grande do Sul,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,43,Rio Grande do Sul,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,43,Rio Grande do Sul,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,43,Rio Grande do Sul,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,2797.0,50,Mato Grosso do Sul,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,50,Mato Grosso do Sul,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,50,Mato Grosso do Sul,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,50,Mato Grosso do Sul,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,3708.0,51,Mato Grosso,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,51,Mato Grosso,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,51,Mato Grosso,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,51,Mato Grosso,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,7253.0,52,Goiás,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,52,Goiás,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,52,Goiás,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,52,Goiás,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,2963.0,53,Distrito Federal,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,53,Distrito Federal,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,53,Distrito Federal,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,53,Distrito Federal,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,1733.0,11,Rondônia,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,11,Rondônia,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,11,Rondônia,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,11,Rondônia,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,860.0,12,Acre,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,12,Acre,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,12,Acre,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
