estado,estado_codigo,termo,interesse,ano,grupo
São Paulo,BR-SP,Scala,1,2021,linguagens
Tocantins,BR-TO,Scala,0,2021,linguagens
Acre,BR-AC,Julia,23,2021,linguagens
Alagoas,BR-AL,Julia,25,2021,linguagens
Amapá,BR-AP,Julia,26,2021,linguagens
Amazonas,BR-AM,Julia,33,2021,linguagens
Bahia,BR-BA,Julia,25,2021,linguagens
Ceará,BR-CE,Julia,24,2021,linguagens
Distrito Federal,BR-DF,Julia,18,2021,linguagens
Espírito Santo,BR-ES,Julia,26,2021,linguagens
Goiás,BR-GO,Julia,24,2021,linguagens
Maranhão,BR-MA,Julia,24,2021,linguagens
Mato Grosso,BR-MT,Julia,24,2021,linguagens
Mato Grosso do Sul,BR-MS,Julia,25,2021,linguagens
Minas Gerais,BR-MG,Julia,26,2021,linguagens
Paraná,BR-PR,Julia,22,2021,linguagens
Paraíba,BR-PB,Julia,26,2021,linguagens
Pará,BR-PA,Julia,28,2021,linguagens
Pernambuco,BR-PE,Julia,24,2021,linguagens
Piauí,BR-PI,Julia,19,2021,linguagens
Rio Grande do Norte,BR-RN,Julia,24,2021,linguagens
Rio Grande do Sul,BR-RS,Julia,25,2021,linguagens
Rio de Janeiro,BR-RJ,Julia,27,2021,linguagens
Rondônia,BR-RO,Julia,21,2021,linguagens
Roraima,BR-RR,Julia,23,2021,linguagens
Santa Catarina,BR-SC,Julia,24,2021,linguagens
Sergipe,BR-SE,Julia,24,2021,linguagens
São Paulo,BR-SP,Julia,20,2021,linguagens
Tocantins,BR-TO,Julia,24,2021,linguagens
Acre,BR-AC,Power BI,71,2021,ferramentas
Alagoas,BR-AL,Power BI,88,2021,ferramentas
Amapá,BR-AP,Power BI,100,2021,ferramentas
Amazonas,BR-AM,Power BI,92,2021,ferramentas
Bahia,BR-BA,Power BI,82,2021,ferramentas
Ceará,BR-CE,Power BI,87,2021,ferramentas
Distrito Federal,BR-DF,Power BI,86,2021,ferramentas
Espírito Santo,BR-ES,Power BI,87,2021,ferramentas
Goiás,BR-GO,Power BI,88,2021,ferramentas
Maranhão,BR-MA,Power BI,88,2021,ferramentas
Mato Grosso,BR-MT,Power BI,89,2021,ferramentas
Mato Grosso do Sul,BR-MS,Power BI,85,2021,ferramentas
Minas Gerais,BR-MG,Power BI,90,2021,ferramentas
Paraná,BR-PR,Power BI,87,2021,ferramentas
Paraíba,BR-PB,Power BI,79,2021,ferramentas
Pará,BR-PA,Power BI,92,2021,ferramentas
Pernambuco,BR-PE,Power BI,85,2021,ferramentas
Piauí,BR-PI,Power BI,86,2021,ferramentas
Rio Grande do Norte,BR-RN,Power BI,87,2021,ferramentas
Rio Grande do Sul,BR-RS,Power BI,83,2021,ferramentas
Rio de Janeiro,BR-RJ,Power BI,88,2021,ferramentas
Rondônia,BR-RO,Power BI,82,2021,ferramentas
Roraima,BR-RR,Power BI,100,2021,ferramentas
Santa Catarina,BR-SC,Power BI,86,2021,ferramentas
Sergipe,BR-SE,Power BI,88,2021,ferramentas
São Paulo,BR-SP,Power BI,79,2021,ferramentas
Tocantins,BR-TO,Power BI,82,2021,ferramentas
Acre,BR-AC,Tableau,29,2021,ferramentas
Alagoas,BR-AL,Tableau,6,2021,ferramentas
Amapá,BR-AP,Tableau,0,2021,ferramentas
Amazonas,BR-AM,Tableau,6,2021,ferramentas
Bahia,BR-BA,Tableau,10,2021,ferramentas
Ceará,BR-CE,Tableau,9,2021,ferramentas
Distrito Federal,BR-DF,Tableau,9,2021,ferramentas
Espírito Santo,BR-ES,Tableau,10,2021,ferramentas
Goiás,BR-GO,Tableau,8,2021,ferramentas
Maranhão,BR-MA,Tableau,6,2021,ferramentas
Mato Grosso,BR-MT,Tableau,8,2021,ferramentas
Mato Grosso do Sul,BR-MS,Tableau,8,2021,ferramentas
Minas Gerais,BR-MG,Tableau,7,2021,ferramentas
Paraná,BR-PR,Tableau,9,2021,ferramentas
Paraíba,BR-PB,Tableau,11,2021,ferramentas
Pará,BR-PA,Tableau,6,2021,ferramentas
Pernambuco,BR-PE,Tableau,9,2021,ferramentas
Piauí,BR-PI,Tableau,8,2021,ferramentas
Rio Grande do Norte,BR-RN,Tableau,9,2021,ferramentas
